cluster;count;top_words;negative_score;sample;negativity_ratio;insight
251;54;['using', 'problem', 'working', 'while', 'really', 'time', 'editing'];78;well i tried to access a presentation for my exams because most of my teachers use canva when i tried to get in the app said my access was denied ill still rate 4 stars for the best templates tho please explain to me what my problem means even with another account on google i cant access the app;1.4444444444444444;using / problem / working / while / really / time / editing
239;144;['slow', 'lags', 'lagging', 'sometimes', 'working', 'slowly', 'loading'];159;sometimes it works very slowly;1.1041666666666667;slow / lags / lagging / sometimes / working / slowly / loading
253;605;['worst', 'time', 'slow', 'work', 'open', 'ever', 'working'];642;its been days the app and website not working is say no network but other apps in my phone working properly fix this big please and support please check commentsreviews and help people they are not happy at all;1.0611570247933884;worst / time / slow / work / open / ever / working
246;74;['text', 'paste', 'copy', 'type', 'annoying', 'edit', 'want'];70;not easy to copy and past long texts into box text;0.9459459459459459;text / paste / copy / type / annoying / edit / want
247;365;['video', 'download', 'videos', 'editing', 'downloading', 'time', 'edit'];298;slow video download after editing;0.8164383561643835;video / download / videos / editing / downloading / time / edit
240;284;['subscription', 'refund', 'money', 'account', 'cancel', 'free', 'trial'];222;i wasnt notified about charging without notifying the owner if he wants to purchase canva pro or not i want a refund because i need that money for my personal use school food and transformation because that was supposed to be my allowance please do notify regarding purchasing canva pro or not i am very disappointed and sad because i dont have any allowances left please do me a refund;0.7816901408450704;subscription / refund / money / account / cancel / free / trial
252;63;['internet', 'connection', 'wifi', 'network', 'open', 'always', 'check'];37;always lag pls fix waste my time always when im on due i did not pay this much just for it to lag like i did not pay my internet bills when i have my own home wifi cool app but fix pls;0.5873015873015873;internet / connection / wifi / network / open / always / check
211;111;['hard', 'complicated', 'difficult', 'easy', 'understand', 'time', 'work'];56;very difficult for me to use;0.5045045045045045;hard / complicated / difficult / easy / understand / time / work
243;200;['download', 'downloading', 'slow', 'time', 'takes', 'work', 'design'];93;but the downloading features is slow;0.465;download / downloading / slow / time / takes / work / design
250;74;['mobile', 'phone', 'hard', 'tablet', 'really', 'easy', 'work'];28;really really sucks on mobile please optimise mobile use jeez this is so frustrating;0.3783783783783784;mobile / phone / hard / tablet / really / easy / work
248;123;['image', 'download', 'photo', 'photos', 'images', 'picture', 'upload'];41;it is bcs when i look at my gallery after download it doesnt show the picture;0.3333333333333333;image / download / photo / photos / images / picture / upload
64;77;['perfect', 'worst', 'experience', 'ever', 'thing', 'worse', 'experienced'];24;its worst;0.3116883116883117;perfect / worst / experience / ever / thing / worse / experienced
242;174;['premium', 'money', 'expensive', 'things', 'paid', 'everything', 'free'];48;most of the options are paid  thats a huge disadvantage who cant afford premium;0.27586206896551724;premium / money / expensive / things / paid / everything / free
237;189;['free', 'premium', 'best', 'money', 'paid', 'apps', 'version'];46;this app is easy to use and now i am earning income;0.24338624338624337;free / premium / best / money / paid / apps / version
155;127;['well', 'welldone', 'loving', 'little', 'convience', 'easein', 'cases'];24;love the convience;0.1889763779527559;well / welldone / loving / little / convience / easein / cases
199;73;['nothing', 'useful', 'disappointed', 'friendly', 'perfect', 'interested', 'sorry'];8;good but not perfect;0.1095890410958904;nothing / useful / disappointed / friendly / perfect / interested / sorry
231;56;['version', 'free', 'paid', 'best', 'worth', 'edition', 'easy'];6;its pretty good on the free version too;0.10714285714285714;version / free / paid / best / worth / edition / easy
205;89;['content', 'marketing', 'best', 'easy', 'advertisement', 'create', 'creator'];9;really awesome site if your content creator it helps speed things up immensely;0.10112359550561797;content / marketing / best / easy / advertisement / create / creator
218;76;['beginners', 'learn', 'learning', 'beginner', 'easy', 'best', 'start'];6;love it but i expected a training tutorial;0.07894736842105263;beginners / learn / learning / beginner / easy / best / start
185;82;['star', 'stars', 'give', 'because', 'five', 'would', 'rate'];6;i give 4 star now because im just starting to use later its 5 star will complete;0.07317073170731707;star / stars / give / because / five / would / rate
219;196;['using', 'time', 'first', 'best', 'amazing', 'know', 'really'];14;you always logout when you use it next time which is so much bad but although it is so fun and interesting to use and so so so much useful;0.07142857142857142;using / time / first / best / amazing / know / really
228;253;['templates', 'template', 'easy', 'free', 'design', 'many', 'best'];18;easy to use and so many template to choose;0.07114624505928854;templates / template / easy / free / design / many / best
249;534;['editing', 'video', 'best', 'photo', 'videos', 'edit', 'photos'];36;nice app for video editor;0.06741573033707865;editing / video / best / photo / videos / edit / photos
201;1686;['bahut', 'achcha', 'acha', 'ganda', 'download', 'gamitin', 'bhai'];112;ما انصح حدا;0.066429418742586;bahut / achcha / acha / ganda / download / gamitin / bhai
191;1867;['best', 'easy', 'design', 'thank', 'using', 'amazing', 'work'];112;very good love you canva;0.059989287627209426;best / easy / design / thank / using / amazing / work
232;107;['students', 'school', 'student', 'helpful', 'useful', 'best', 'work'];6;its really a good app for students to make their work only that it has too much restriction in some features;0.056074766355140186;students / school / student / helpful / useful / best / work
257;297;['easy', 'work', 'best', 'beginners', 'makes', 'simple', 'application'];13;nice app especially for beginners;0.04377104377104377;easy / work / best / beginners / makes / simple / application
220;119;['tool', 'tools', 'best', 'amazing', 'easy', 'useful', 'excellent'];5;this is a great tool;0.04201680672268908;tool / tools / best / amazing / easy / useful / excellent
217;413;['design', 'designs', 'easy', 'designing', 'best', 'perfect', 'tool'];15;the absolute best and dont think that just because you do have pro you cant make a good design you just gotta get a little creative;0.03631961259079903;design / designs / easy / designing / best / perfect / tool
183;508;['editing', 'edit', 'best', 'easy', 'editor', 'tool', 'edits'];18;very good for editing;0.03543307086614173;editing / edit / best / easy / editor / tool / edits
244;58;['thumbnail', 'thumbnails', 'best', 'making', 'easy', 'design', 'amazing'];2;its the best in thumbnails;0.034482758620689655;thumbnail / thumbnails / best / making / easy / design / amazing
178;119;['canvas', 'easy', 'best', 'design', 'amazing', 'really', 'work'];4;the canvas app is very good and easy for students teachers and also for all peoples;0.03361344537815126;canvas / easy / best / design / amazing / really / work
212;189;['work', 'working', 'works', 'well', 'professional', 'best', 'really'];6;it is working well;0.031746031746031744;work / working / works / well / professional / best / really
167;69;['best', 'superb', 'super', 'mast', 'bohot', 'bahut', 'banane'];2;best aap;0.028985507246376812;best / superb / super / mast / bohot / bahut / banane
221;71;['projects', 'project', 'school', 'useful', 'helps', 'helped', 'helpful'];2;its very helpful for student making some kind of project should easy to handle it;0.028169014084507043;projects / project / school / useful / helps / helped / helpful
233;684;['design', 'best', 'designing', 'designs', 'easy', 'creative', 'business'];18;my favourite design app;0.02631578947368421;design / best / designing / designs / easy / creative / business
174;77;['experience', 'wonderful', 'awesome', 'amazing', 'super', 'fantastic', 'loved'];2;wonderful experience;0.025974025974025976;experience / wonderful / awesome / amazing / super / fantastic / loved
234;209;['graphic', 'design', 'best', 'graphics', 'designing', 'designer', 'easy'];5;best graphic designing application;0.023923444976076555;graphic / design / best / graphics / designing / designer / easy
236;88;['card', 'cards', 'invitation', 'making', 'best', 'birthday', 'invitations'];2;very good options for creating personal cards;0.022727272727272728;card / cards / invitation / making / best / birthday / invitations
241;91;['free', 'should', 'need', 'best', 'give', 'options', 'amazing'];2;bagus fitur banyak yang free;0.02197802197802198;free / should / need / best / give / options / amazing
182;574;['editing', 'best', 'edit', 'ever', 'easy', 'really', 'apps'];12;amaizing app very easy to edit and very reliable as well;0.020905923344947737;editing / best / edit / ever / easy / really / apps
159;99;['service', 'best', 'excellent', 'customer', 'services', 'fast', 'exceptional'];2;good service;0.020202020202020204;service / best / excellent / customer / services / fast / exceptional
197;55;['best', 'thank', 'really', 'evertry', 'later', 'seriously', 'modern'];1;this app he is my best app;0.01818181818181818;best / thank / really / evertry / later / seriously / modern
255;277;['amazing', 'really', 'using', 'loved', 'happy', 'enjoy', 'awesome'];5;wonderful app i love it;0.018050541516245487;amazing / really / using / loved / happy / enjoy / awesome
209;58;['platform', 'best', 'amazing', 'awesome', 'ever', 'easy', 'excellent'];1;this is real platform amazing;0.017241379310344827;platform / best / amazing / awesome / ever / easy / excellent
229;118;['poster', 'posters', 'best', 'making', 'editing', 'create', 'easy'];2;the app is really good for designing posters and many more it also has many free elements for designing;0.01694915254237288;poster / posters / best / making / editing / create / easy
88;61;['problems', 'edeting'];1;good app;0.01639344262295082;problems / edeting
226;247;['easy', 'simple', 'amazing', 'really', 'convenient', 'best', 'useful'];4;it is a very wonderful and easy to use;0.016194331983805668;easy / simple / amazing / really / convenient / best / useful
224;65;['features', 'feature', 'need', 'amazing', 'excellent', 'better', 'really'];1;not much features;0.015384615384615385;features / feature / need / amazing / excellent / better / really
202;66;['super', 'duper', 'ganda', 'superr', 'uper', 'superrr', 'hero'];1;superr;0.015151515151515152;super / duper / ganda / superr / uper / superrr / hero
222;203;['students', 'helpful', 'student', 'school', 'useful', 'really', 'especially'];3;it helps me for my academics;0.014778325123152709;students / helpful / student / school / useful / really / especially
196;618;['helpful', 'useful', 'help', 'really', 'thank', 'helps', 'helpfull'];9;it really helped me alot;0.014563106796116505;helpful / useful / help / really / thank / helps / helpfull
216;206;['creative', 'creativity', 'create', 'best', 'things', 'anything', 'really'];3;very good for students who have creative mind;0.014563106796116505;creative / creativity / create / best / things / anything / really
200;231;['bagus', 'better', 'results', 'goodd', 'aplication', 'sangat', 'excellent'];3;good good;0.012987012987012988;bagus / better / results / goodd / aplication / sangat / excellent
230;90;['logo', 'best', 'logos', 'design', 'making', 'create', 'easy'];1;that is so cool for draw my logo and poster;0.011111111111111112;logo / best / logos / design / making / create / easy
256;284;['helpful', 'useful', 'help', 'really', 'amazing', 'thank', 'full'];3;this app is very useful;0.01056338028169014;helpful / useful / help / really / amazing / thank / full
189;95;['perfect', 'perfecto', 'always', 'perfection', 'perfekt', 'everything', 'makes'];1;it is very perfect;0.010526315789473684;perfect / perfecto / always / perfection / perfekt / everything / makes
169;99;['true', 'tooo', 'trop', 'bien', 'many', 'really', 'best'];1;too good to be true;0.010101010101010102;true / tooo / trop / bien / many / really / best
